Active 
Adventurous 
Aggressive
Ambitious
Analytical
Boss
Hacker 
Assertive
Autonomy
Boast*
Challenge
Confident
Courageous
Decide
Decisive
Decision
Determinant
Dominant
Domining
Force
Greedy
He
Headstrong
Hierarchy
Hostile
Impulsive
Independent
Intellectual
Leader
Logic
Masculine
Objective
Opinion 
Openness
Persist
Principled
Reckless
Stubborn
Self-confidence
Ninja
Outspoken
Rockstar
Superior
Self-reliant
Self-reliance
Self-sufficient
Self-sufficiency
Independence
